No,Keyword,Volume,Position,Est. Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
1,"법무법인",4400,1,1338,"₩9.55",22,20,"https://namu.wiki/w/%EB%B2%95%EB%AC%B4%EB%B2%95%EC%9D%B8"
2,"법무 법인",3600,1,1338,"₩4.26",45,15,"https://namu.wiki/w/%EB%B2%95%EB%AC%B4%EB%B2%95%EC%9D%B8"
3,"그루밍",4400,2,1338,"₩4.65",2,33,"https://namu.wiki/w/%EA%B7%B8%EB%A3%A8%EB%B0%8D"
4,"형사전문 변호사",1600,1,832,"₩14.49",14,23,"https://namu.wiki/w/%ED%98%95%EC%82%AC%EC%A0%84%EB%AC%B8%EB%B3%80%ED%98%B8%EC%82%AC"
5,"형사전문변호사",1600,2,583,"₩14.49",14,1,"https://namu.wiki/w/%ED%98%95%EC%82%AC%EC%A0%84%EB%AC%B8%EB%B3%80%ED%98%B8%EC%82%AC"
6,"형사 전문 변호사",880,1,1094,"₩23.33",39,9,"https://namu.wiki/w/%ED%98%95%EC%82%AC%EC%A0%84%EB%AC%B8%EB%B3%80%ED%98%B8%EC%82%AC"
7,"성범죄",2900,2,882,"₩32.68",22,52,"https://namu.wiki/w/%EC%84%B1%ED%8F%AD%EB%A0%A5"
8,"공연 음란 죄",2400,1,730,"₩4.64",19,19,"https://namu.wiki/w/%EA%B3%B5%EC%97%B0%EC%9D%8C%EB%9E%80%EC%A3%84"
9,"트위터 마왕",1600,24,3,"₩0.00",1,18,"https://namu.wiki/w/%EC%9D%B4%EB%A1%9C%EB%82%98%EB%AC%AD%20%EC%B9%98%EC%B9%B4"
10,"위계",1600,1,486,"₩0.00",1,31,"https://namu.wiki/w/%EC%9C%84%EA%B3%84"
11,"금융거래정보 제공 사실 통보서",1600,67,3,"₩0.00",1,5,"https://namu.wiki/w/%EB%AF%B8%EA%B5%AD%20%EA%B5%AD%EC%84%B8%EC%B2%AD"
12,"금융 거래 정보 제공 사실 통보서",1600,67,3,"₩0.00",1,5,"https://namu.wiki/w/%EB%AF%B8%EA%B5%AD%20%EA%B5%AD%EC%84%B8%EC%B2%AD"
13,"유사성 행위",1600,1,486,"₩0.00",1,18,"https://namu.wiki/w/%EC%9C%A0%EC%82%AC%EA%B0%95%EA%B0%84%EC%A3%84"
14,"음란",1600,2,486,"₩0.00",1,31,"https://namu.wiki/w/%EC%9D%8C%EB%9E%80"
15,"금융거래정보 제공사실 통보서",1600,68,3,"₩0.00",1,13,"https://namu.wiki/w/%EB%AF%B8%EA%B5%AD%20%EA%B5%AD%EC%84%B8%EC%B2%AD"
16,"특수 폭행",1300,1,395,"₩1.39",2,19,"https://namu.wiki/w/%ED%8A%B9%EC%88%98%ED%8F%AD%ED%96%89%EC%A3%84"
17,"사이버 명예 훼손",1300,2,211,"₩1.97",10,17,"https://namu.wiki/w/%EC%82%AC%EC%9D%B4%EB%B2%84%20%EB%AA%85%EC%98%88%ED%9B%BC%EC%86%90"
18,"딥페이크 처벌 사례",1000,38,3,"₩2.62",8,3,"https://namu.wiki/w/%EB%94%A5%ED%8E%98%EC%9D%B4%ED%81%AC/%EC%84%B1%EB%B2%94%EC%A3%84"
19,"사이버명예훼손",1300,3,126,"₩1.97",10,35,"https://namu.wiki/w/%EC%82%AC%EC%9D%B4%EB%B2%84%20%EB%AA%85%EC%98%88%ED%9B%BC%EC%86%90"
20,"군대 동성 경험",1300,33,2,"₩1.30",1,14,"https://namu.wiki/w/%EC%9E%84%ED%83%9C%ED%9B%88(%EC%9D%B8%EA%B6%8C%EC%9A%B4%EB%8F%99%EA%B0%80)"
21,"기소 유예 전과",1000,3,162,"₩2.76",4,15,"https://namu.wiki/w/%EA%B8%B0%EC%86%8C%EC%9C%A0%EC%98%88"
22,"이성호",1000,2,304,"₩0.00",1,31,"https://namu.wiki/w/%EC%9D%B4%EC%84%B1%ED%98%B8"
23,"강제추행",1000,2,231,"₩12.53",40,8,"https://namu.wiki/w/%EA%B0%95%EC%A0%9C%EC%B6%94%ED%96%89%EC%A3%84"
24,"기소유예 전과",1000,3,162,"₩2.76",4,20,"https://namu.wiki/w/%EA%B8%B0%EC%86%8C%EC%9C%A0%EC%98%88"
25,"모욕",1000,2,304,"₩3.87",1,32,"https://namu.wiki/w/%EB%AA%A8%EC%9A%95%EC%A3%84"
26,"성폭법",880,2,162,"₩15.41",11,35,"https://namu.wiki/w/%EC%84%B1%ED%8F%AD%EB%A0%A5%EB%B2%94%EC%A3%84%EC%9D%98%20%EC%B2%98%EB%B2%8C%20%EB%93%B1%EC%97%90%20%EA%B4%80%ED%95%9C%20%ED%8A%B9%EB%A1%80%EB%B2%95"
27,"딥페이크 시청 처벌 사례",880,8,17,"₩2.04",11,9,"https://namu.wiki/w/%EB%94%A5%ED%8E%98%EC%9D%B4%ED%81%AC/%EC%84%B1%EB%B2%94%EC%A3%84"
28,"아청물",880,2,203,"₩7.70",17,37,"https://namu.wiki/w/%EC%95%84%EB%8F%99%C2%B7%EC%B2%AD%EC%86%8C%EB%85%84%20%EC%84%B1%EC%B0%A9%EC%B7%A8%EB%AC%BC"
29,"성범죄 신상공개",720,2,117,"₩1.64",5,5,"https://namu.wiki/w/%EC%84%B1%EB%B2%94%EC%A3%84%EC%9E%90%20%EC%8B%A0%EC%83%81%EA%B3%B5%EA%B0%9C%EC%A0%9C%EB%8F%84"
30,"성 착취",720,1,219,"₩0.00",1,18,"https://namu.wiki/w/%EC%95%84%EB%8F%99%20%EC%84%B1%EC%B0%A9%EC%B7%A8%EB%AC%BC"
31,"통매음 무혐의 사례",720,50,1,"₩5.07",26,21,"https://namu.wiki/w/%ED%8C%8C%EC%9D%BC:%ED%86%B5%EB%A7%A4%EC%9D%8C%EB%AC%B4%ED%98%90%EC%9D%98.webp"
32,"성착취",720,2,117,"₩0.00",1,31,"https://namu.wiki/w/%EC%95%84%EB%8F%99%20%EC%84%B1%EC%B0%A9%EC%B7%A8%EB%AC%BC"
33,"성범죄 신상 공개",720,1,219,"₩1.64",5,15,"https://namu.wiki/w/%EC%84%B1%EB%B2%94%EC%A3%84%EC%9E%90%20%EC%8B%A0%EC%83%81%EA%B3%B5%EA%B0%9C%EC%A0%9C%EB%8F%84"
34,"통 매음 무혐의 사례",720,53,2,"₩4.89",31,15,"https://namu.wiki/w/%ED%8C%8C%EC%9D%BC:%ED%86%B5%EB%A7%A4%EC%9D%8C%EB%AC%B4%ED%98%90%EC%9D%98.webp"
35,"통매음 헌터",720,20,2,"₩29.03",14,23,"https://namu.wiki/w/%ED%86%B5%EC%8B%A0%EB%A7%A4%EC%B2%B4%EC%9D%B4%EC%9A%A9%EC%9D%8C%EB%9E%80%EC%A3%84"
36,"공공장소",720,2,219,"₩0.00",1,31,"https://namu.wiki/w/%EA%B3%B5%EA%B3%B5%EC%9E%A5%EC%86%8C"
