No,Keyword,Volume,Position,Est. Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
1,"그루밍",4400,7,206,"\4.65",2,33,"https://m.blog.naver.com/diarycat/221871589317"
2,"형사전문 변호사",1600,12,25,"\14.49",14,23,"https://blog.naver.com/electric11639/223440093469?viewType=pc"
3,"형사전문변호사",1600,22,8,"\14.49",14,1,"https://blog.naver.com/lawfirmdaeryun/223064366109"
4,"형사 전문 변호사",880,19,10,"\23.33",39,9,"https://blog.naver.com/lawfirmdaeryun/223064366109"
5,"성범죄",2900,43,6,"\32.68",22,52,"https://korean.dict.naver.com/koendict/ko/entry/koen/6f6c183e4c144c0d8020c2f6abcfc4d2"
6,"공연 음란 죄",2400,5,113,"\4.64",19,19,"https://m.blog.naver.com/startlrah/222939446380"
7,"피상적",1900,1,578,"\0.00",1,31,"https://blog.naver.com/wind0631/222171666666?viewType=pc"
8,"금융거래정보 제공 사실 통보서",1600,1,486,"\0.00",1,5,"https://blog.naver.com/onmpm83111/222159557011"
9,"금융 거래 정보 제공 사실 통보서",1600,1,486,"\0.00",1,5,"https://blog.naver.com/onmpm83111/222159557011"
10,"유사성 행위",1600,2,259,"\0.00",1,18,"https://m.blog.naver.com/arori9090/223122568770"
11,"음란",1600,4,156,"\0.00",1,31,"https://korean.dict.naver.com/koendict/ko/entry/koen/b17b2b4e7462448cb89aa0971685b915"
12,"트위터 마왕",1600,7,41,"\0.00",1,18,"https://m.blog.naver.com/denma0/222509634704"
13,"위계",1600,5,105,"\0.00",1,31,"https://korean.dict.naver.com/koendict/ko/entry/koen/00a6604a99a5418186b3a8d926e34a46"
14,"금융거래정보 제공사실 통보서",1600,1,486,"\0.00",1,13,"https://blog.naver.com/onmpm83111/222159557011"
15,"성범죄전문 변호사",1000,29,3,"\52.25",40,48,"https://m.expert.naver.com/mobile/expert/product/detail?storeId=100025306&productId=100072659"
16,"사이버 명예 훼손",1300,5,61,"\1.97",10,17,"https://m.blog.naver.com/myanlaw/223002952736"
17,"여자 뒷모습",1300,10,20,"\0.00",1,18,"https://blog.naver.com/merci_hyejin/222223266579"
18,"딥페이크 처벌 사례",1000,32,3,"\2.62",8,3,"https://m.blog.naver.com/tjsrud1263/222596323041"
19,"성범죄 전문변호사",1000,42,3,"\52.25",40,25,"https://m.blog.naver.com/taehalaw/222925285790"
20,"사이버명예훼손",1300,5,61,"\1.97",10,35,"https://m.blog.naver.com/myanlaw/223002952736"
21,"성범죄 전문 변호사",1000,32,3,"\52.25",40,48,"https://m.blog.naver.com/phillaw1/222944523959"
22,"특수 폭행",1300,3,126,"\1.39",2,19,"https://m.blog.naver.com/PostView.naver?blogId=yeoamlaw&logNo=223081583556&navType=by"
23,"성범죄 변호사",1300,19,4,"\125.62",73,18,"https://m.blog.naver.com/honglimlaw/223007804063"
24,"성범죄 변호",1300,22,3,"\65.28",68,45,"https://m.blog.naver.com/honglimlaw/223007804063"
25,"성범죄전문변호사",1000,25,3,"\52.25",40,25,"https://m.blog.naver.com/taehalaw/222925285790"
26,"기소 유예 전과",1000,2,304,"\2.76",4,15,"https://m.blog.naver.com/wkqkclq552/221357417442"
27,"이성호",1000,19,3,"\0.00",1,31,"https://m.expert.naver.com/expert/profile/home?storeId=100019732&u=E%2FbfLYdDRAnCvVkAJfBg88fOgTEdnX65NHQ0FQl0%2BTY%3D"
28,"강제추행",1000,15,7,"\12.53",40,8,"https://m.blog.naver.com/lawfirm_aceteam/223222822312"
29,"군대 동성 경험",1300,9,15,"\1.30",1,14,"https://blog.naver.com/wkqkclq552/221623682140?viewType=pc"
30,"기소유예 전과",1000,2,304,"\2.76",4,20,"https://m.blog.naver.com/wkqkclq552/221357417442"
31,"모욕",1000,18,4,"\3.87",1,32,"https://korean.dict.naver.com/koendict/ko/entry/koen/7585f10c65544ee89a02801317433fbf"
32,"성폭법",880,7,26,"\15.41",11,35,"https://m.blog.naver.com/waydn19/221893833474"
33,"딥페이크 시청 처벌 사례",880,3,86,"\2.04",11,9,"https://blog.naver.com/aplaw_criminal/223323088791?viewType=pc"
34,"아청물",880,9,17,"\7.70",17,37,"https://m.blog.naver.com/lawfirm_aceteam/223247238906"
35,"통매음 무혐의 사례",720,4,166,"\5.07",26,21,"https://m.blog.naver.com/youlawfirm2/223047622960"
36,"성범죄 신상공개",720,12,5,"\1.64",5,5,"https://blog.naver.com/wjddma1031/222682896464?viewType=pc"
37,"성 착취",720,19,2,"\0.00",1,18,"https://m.blog.naver.com/lawyerlm/223058758710"
38,"성착취",720,48,2,"\0.00",1,31,"http://blog.naver.com/withbupyeong/223541083871"
39,"성범죄 신상 공개",720,13,4,"\1.64",5,15,"http://blog.naver.com/loveacrc/223143057482"
40,"통 매음 무혐의 사례",720,1,219,"\4.89",31,15,"https://m.blog.naver.com/youlawfirm2/223047622960"
41,"통매음 헌터",720,2,117,"\29.03",14,23,"https://m.blog.naver.com/liederkranz1/223439074823"
42,"공공장소",720,3,117,"\0.00",1,31,"https://korean.dict.naver.com/koendict/ko/entry/koen/010fded8ca924ed8a6a6bbfa0db96faf"
43,"이수 성범죄",590,19,2,"\0.00",1,19,"https://m.blog.naver.com/hytk13/222188112679"
44,"만 16세 이상 합의",590,2,96,"\8.33",15,33,"https://blog.naver.com/thlimlawyer/223251058078"
45,"위계 뜻",590,3,57,"\0.00",1,18,"https://korean.dict.naver.com/koendict/ko/entry/koen/00a6604a99a5418186b3a8d926e34a46"
46,"특정 성",590,3,57,"\1.73",1,19,"https://blog.naver.com/lawfm/222531735846?viewType=pc"
47,"특정성 성립",590,3,57,"\1.01",4,20,"https://blog.naver.com/lawfm/222531735846?viewType=pc"
48,"특정성",590,3,57,"\1.73",1,32,"https://blog.naver.com/lawfm/222531735846?viewType=pc"
49,"지인 합성 처벌 디시",590,21,1,"\0.00",2,6,"https://m.kin.naver.com/mobile/tag/tagDetail.naver?tag=%EB%94%94%EC%8B%9C%EC%9D%B8%EC%82%AC%EC%9D%B4%EB%93%9C%EA%B3%A0%EC%86%8C"
50,"사이버 명예훼손 사례",480,2,78,"\0.45",10,17,"https://m.blog.naver.com/unqlaw/222772831322"
51,"랜덤비밀번호",480,15,3,"\0.28",1,32,"https://m.blog.naver.com/crucifyer/222135755728"
52,"음란물 유포 죄",480,3,47,"\30.81",36,24,"https://m.blog.naver.com/myanlaw/222818477551"
53,"있었습니다",480,16,3,"\0.00",1,31,"https://blog.naver.com/kingofnsb/223214832853?viewType=pc"
54,"트위터 간단 경찰",480,6,16,"\17.86",2,37,"https://kin.naver.com/qna/detail.naver?d1id=6&dirId=6020602&docId=477472736"
55,"마약 전문 변호사",320,21,2,"\39.85",22,20,"https://m.blog.naver.com/taehalaw/222925307182"
56,"아청",480,4,27,"\16.32",9,34,"https://blog.naver.com/edith_05/223382939176?viewType=pc"
