No,Keyword,Volume,Position,Est. Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
1,"성범죄",2900,90,6,"₩32.68",22,52,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-3903"
2,"공연 음란 죄",2400,97,5,"₩4.64",19,19,"https://www.lawandgood.com/posts/quotation-content/%EC%84%B1%EB%B2%94%EC%A3%84/qc-12930"
3,"유사성 행위",1600,51,3,"₩0.00",1,18,"https://www.lawandgood.com/posts/quotation-content/%EC%84%B1%EB%B2%94%EC%A3%84/qc-32287"
4,"위계",1600,24,4,"₩0.00",1,31,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-4272"
5,"사이버 명예 훼손",1300,33,3,"₩1.97",10,17,"https://www.lawandgood.com/posts/lawyer-column/%EB%AA%85%EC%98%88%ED%9B%BC%EC%86%90-%EB%AA%A8%EC%9A%95/lc-823"
6,"사이버명예훼손",1300,30,3,"₩1.97",10,35,"https://www.lawandgood.com/posts/lawyer-column/%EB%AA%85%EC%98%88%ED%9B%BC%EC%86%90-%EB%AA%A8%EC%9A%95/lc-6819"
7,"특수 폭행",1300,11,12,"₩1.39",2,19,"https://www.lawandgood.com/posts/lawyer-column/%ED%8F%AD%ED%96%89-%EC%83%81%ED%95%B4/lc-3812"
8,"성범죄 변호사",1300,29,3,"₩125.62",73,18,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-2542"
9,"성범죄 변호",1300,51,3,"₩65.28",68,45,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-2542"
10,"기소 유예 전과",1000,17,4,"₩2.76",4,15,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-746"
11,"이성호",1000,53,2,"₩0.00",1,31,"https://www.lawandgood.com/lawyers/833?lawyerName=%EC%9D%B4%EC%84%B1%ED%98%B8&from=lawyerColumn&contentsId=891&subCategory=%EC%9D%B4%ED%98%BC"
12,"강제추행",1000,42,2,"₩12.53",40,8,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-1295"
13,"군대 동성 경험",1300,22,2,"₩1.30",1,14,"https://www.lawandgood.com/posts/quotation-content/%EC%84%B1%EB%B2%94%EC%A3%84/qc-3025"
14,"기소유예 전과",1000,31,2,"₩2.76",4,20,"https://www.lawandgood.com/posts/lawyer-column/%EA%B8%B0%ED%83%80-%EB%B2%94%EC%A3%84/lc-5941"
15,"아청물",880,32,2,"₩7.70",17,37,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-4355"
16,"성범죄 신상공개",720,35,2,"₩1.64",5,5,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-2210"
17,"성 착취",720,68,2,"₩0.00",1,18,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-1658"
18,"통매음 무혐의 사례",720,11,14,"₩5.07",26,21,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-4883"
19,"통매음 무혐의 사례",720,2,22,"₩5.07",26,21,"https://www.lawandgood.com/"
