No,Keyword,Volume,Position,Est. Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
1,"형사 전문 변호사",880,48,8,"₩23.33",39,9,"https://www.lawtimes.co.kr/news/163299?serial=163299"
2,"형사전문 변호사",1600,40,7,"₩14.49",14,23,"https://www.lawtimes.co.kr/news/163299?serial=163299"
3,"형사전문변호사",1600,42,8,"₩14.49",14,1,"https://www.lawtimes.co.kr/news/163299?serial=163299"
4,"성범죄",2900,48,6,"₩32.68",22,52,"https://www.lawtimes.co.kr/news/196696"
5,"공연 음란 죄",2400,7,81,"₩4.64",19,19,"https://www.lawtimes.co.kr/news/104603"
6,"유사성 행위",1600,3,156,"₩0.00",1,18,"https://www.lawtimes.co.kr/news/16554"
7,"음란",1600,23,4,"₩0.00",1,31,"https://www.lawtimes.co.kr/news/191231"
8,"위계",1600,6,75,"₩0.00",1,31,"https://www.lawtimes.co.kr/opinion/190838"
9,"성범죄 전문 변호사",1000,36,3,"₩52.25",40,48,"https://www.lawtimes.co.kr/news/196696"
10,"성범죄전문 변호사",1000,41,3,"₩52.25",40,48,"https://www.lawtimes.co.kr/news/196696"
11,"딥페이크 처벌 사례",1000,1,395,"₩2.62",8,3,"https://www.lawtimes.co.kr/LawFirm-NewsLetter/202317"
12,"성범죄 전문변호사",1000,32,3,"₩52.25",40,25,"https://www.lawtimes.co.kr/news/196696"
13,"특수 폭행",1300,18,4,"₩1.39",2,19,"https://www.lawtimes.co.kr/news/166435"
14,"성범죄 변호사",1300,47,3,"₩125.62",73,18,"https://www.lawtimes.co.kr/news/196696"
15,"성범죄 변호",1300,41,3,"₩65.28",68,45,"https://www.lawtimes.co.kr/news/197027"
16,"성범죄전문변호사",1000,29,3,"₩52.25",40,25,"https://www.lawtimes.co.kr/news/196696"
17,"기소 유예 전과",1000,42,2,"₩2.76",4,15,"https://www.lawtimes.co.kr/news/10109?serial=10109"
18,"이성호",1000,84,2,"₩0.00",1,31,"https://www.lawtimes.co.kr/news/79870"
