No,Keyword,Volume,Position,Est. Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
1,"형사전문 변호사",1600,90,7,"₩14.49",14,23,"https://www.lawtalk.co.kr/"
2,"형사전문변호사",1600,96,8,"₩14.49",14,1,"https://www.lawtalk.co.kr/"
3,"공연 음란 죄",2400,21,6,"₩4.64",19,19,"https://www.lawtalk.co.kr/posts/77858"
4,"금융거래정보 제공 사실 통보서",1600,18,5,"₩0.00",1,5,"https://www.lawtalk.co.kr/qna/264746"
5,"금융 거래 정보 제공 사실 통보서",1600,18,5,"₩0.00",1,5,"https://www.lawtalk.co.kr/qna/264746"
6,"트위터 마왕",1600,11,15,"₩0.00",1,18,"https://www.lawtalk.co.kr/posts/34676"
7,"금융거래정보 제공사실 통보서",1600,20,4,"₩0.00",1,13,"https://www.lawtalk.co.kr/qna/264746"
8,"사이버 명예 훼손",1300,8,33,"₩1.97",10,17,"https://www.lawtalk.co.kr/post/34"
9,"딥페이크 처벌 사례",1000,25,3,"₩2.62",8,3,"https://www.lawtalk.co.kr/post/73"
10,"사이버명예훼손",1300,7,33,"₩1.97",10,35,"https://www.lawtalk.co.kr/post/34"
11,"특수 폭행",1300,6,44,"₩1.39",2,19,"https://www.lawtalk.co.kr/posts/61237"
12,"성범죄 변호",1300,40,3,"₩65.28",68,45,"https://www.lawtalk.co.kr/posts/80843"
13,"기소 유예 전과",1000,13,8,"₩2.76",4,15,"https://www.lawtalk.co.kr/posts/35905"
14,"강제추행",1000,25,2,"₩12.53",40,8,"https://www.lawtalk.co.kr/posts/16629"
15,"모욕",1000,38,2,"₩3.87",1,32,"https://www.lawtalk.co.kr/post/34"
16,"딥페이크 시청 처벌 사례",880,11,8,"₩2.04",11,9,"https://www.lawtalk.co.kr/posts/91506"
17,"아청물",880,7,28,"₩7.70",17,37,"https://www.lawtalk.co.kr/posts/46981"
18,"성 착취",720,23,2,"₩0.00",1,18,"https://www.lawtalk.co.kr/posts/46981"
19,"통매음 무혐의 사례",720,5,91,"₩5.07",26,21,"https://www.lawtalk.co.kr/posts/41443"
20,"통 매음 무혐의 사례",720,2,117,"₩4.89",31,15,"https://www.lawtalk.co.kr/posts/59090"
21,"통매음 헌터",720,6,24,"₩29.03",14,23,"https://www.lawtalk.co.kr/posts/50681"
22,"이수 성범죄",590,73,1,"₩0.00",1,19,"https://www.lawtalk.co.kr/posts/18479"
23,"만 16세 이상 합의",590,1,179,"₩8.33",15,33,"https://www.lawtalk.co.kr/qna/298563"
24,"특정 성",590,2,96,"₩1.73",1,19,"https://www.lawtalk.co.kr/posts/36483"
25,"특정성 성립",590,2,96,"₩1.01",4,20,"https://www.lawtalk.co.kr/posts/36483"
26,"특정성",590,2,96,"₩1.73",1,32,"https://www.lawtalk.co.kr/posts/36483"
27,"지인 합성 처벌 디시",590,40,1,"₩0.00",2,6,"https://www.lawtalk.co.kr/qna/252635"
28,"카촬죄",480,4,111,"₩36.56",56,49,"https://www.lawtalk.co.kr/posts/78869"
29,"음란물 유포 죄",480,14,3,"₩30.81",36,24,"https://www.lawtalk.co.kr/posts/35063"
30,"사이버 명예훼손 사례",480,17,2,"₩0.45",10,17,"https://www.lawtalk.co.kr/post/34"
31,"트위터 간단 경찰",480,4,32,"₩17.86",2,37,"https://www.lawtalk.co.kr/posts/77613"
32,"마약 전문 변호사",320,87,1,"₩39.85",22,20,"https://www.lawtalk.co.kr/"
33,"아청",480,13,3,"₩16.32",9,34,"https://www.lawtalk.co.kr/posts/46981"
34,"추행",480,35,1,"₩2.61",9,10,"https://www.lawtalk.co.kr/posts/69338"
35,"그루밍 성범죄",480,53,1,"₩23.11",17,24,"https://www.lawtalk.co.kr/posts/83240"
36,"딥페이크 처벌 기준",390,44,1,"₩1.80",12,17,"https://www.lawtalk.co.kr/post/73"
37,"법무법인 심",390,97,1,"₩1.80",13,22,"https://www.lawtalk.co.kr/directory/profile/7673-%EC%8B%AC%EC%A7%80%EC%97%B0"
38,"무고죄 합의금",390,5,18,"₩1.77",13,22,"https://www.lawtalk.co.kr/posts/63145"
39,"금고형 벌금형 차이",390,13,2,"₩0.00",1,13,"https://www.lawtalk.co.kr/posts/37321"
40,"성인 만남",390,19,1,"₩0.75",63,37,"https://www.lawtalk.co.kr/qna/99512"
41,"강제 추행죄",390,70,1,"₩8.22",41,36,"https://www.lawtalk.co.kr/posts/16629"
42,"거짓말탐지기 조사후기",320,1,97,"₩0.32",5,20,"https://www.lawtalk.co.kr/posts/27898"
43,"마사지 손님 벌금",260,2,52,"₩2.20",11,17,"https://www.lawtalk.co.kr/posts/33110"
44,"통매음 벌금",320,4,31,"₩9.13",25,26,"https://www.lawtalk.co.kr/posts/66822"
45,"카메라등이용촬영죄",320,10,5,"₩8.96",41,44,"https://www.lawtalk.co.kr/posts/18989"
46,"통 매음 사례",320,3,40,"₩3.43",15,18,"https://www.lawtalk.co.kr/post/4"
47,"아청물 시청 처벌 사례",320,2,52,"₩2.82",28,25,"https://www.lawtalk.co.kr/qna/294895"
48,"경찰 포렌식 기간",320,4,25,"₩9.75",7,16,"https://www.lawtalk.co.kr/qna/312834"
49,"통매음 사례",320,3,31,"₩2.66",17,24,"https://www.lawtalk.co.kr/post/4"
50,"신상정보",320,98,1,"₩2.66",2,32,"https://www.lawtalk.co.kr/posts/18752"
51,"통매음 신고하는법",320,6,11,"₩4.46",35,7,"https://www.lawtalk.co.kr/post/4"
52,"통 매음 벌금",320,5,18,"₩15.43",12,17,"https://www.lawtalk.co.kr/posts/66822"
53,"음란물 유포",320,13,2,"₩7.42",30,28,"https://www.lawtalk.co.kr/posts/35063"
54,"아청 물 시청 처벌 사례",320,1,97,"₩5.08",23,12,"https://www.lawtalk.co.kr/qna/294895"
55,"통 매음 신고하는 법",320,6,11,"₩4.46",35,7,"https://www.lawtalk.co.kr/post/4"
56,"신상 정보",320,67,1,"₩2.66",2,19,"https://www.lawtalk.co.kr/posts/35297"
57,"성범죄변호사 선임 비용",260,20,1,"₩12.85",81,32,"https://www.lawtalk.co.kr/qna/167209"
58,"구속 영장 실질 심사",260,83,1,"₩15.57",11,9,"https://www.lawtalk.co.kr/posts/17670"
59,"라인 영상구매 처벌",260,5,60,"₩5.35",36,24,"https://www.lawtalk.co.kr/qna/277505"
60,"성범죄 변호사 선임비용",260,19,1,"₩12.85",81,38,"https://www.lawtalk.co.kr/qna/167209"
61,"통매음 고소장",260,4,17,"₩2.04",21,25,"https://www.lawtalk.co.kr/posts/45281"
62,"강제추행죄 초범",260,5,12,"₩4.72",50,34,"https://www.lawtalk.co.kr/qna/231198"
63,"라인 영상 구매 처벌",260,2,60,"₩5.35",36,16,"https://www.lawtalk.co.kr/qna/277505"
64,"변호사 수임",260,93,1,"₩22.94",5,20,"https://www.lawtalk.co.kr/"
65,"성범죄 변호사 선임 비용",260,19,1,"₩12.85",81,40,"https://www.lawtalk.co.kr/qna/167209"
66,"지하철 추행",260,7,15,"₩2.69",19,24,"https://www.lawtalk.co.kr/qna/242906"
67,"지하철 추행",260,7,15,"₩2.69",19,24,"https://www.lawtalk.co.kr/qna/242906"
68,"경찰 조사 후기",260,8,5,"₩0.02",5,15,"https://www.lawtalk.co.kr/posts/60931"
69,"경찰조사 후기",260,8,5,"₩0.02",5,20,"https://www.lawtalk.co.kr/posts/60931"
70,"준강제추행",260,6,9,"₩6.97",47,46,"https://www.lawtalk.co.kr/posts/58868"
71,"통매음 초범 벌금",260,3,25,"₩3.56",27,22,"https://www.lawtalk.co.kr/posts/49819"
72,"서울 형사전문변호사",260,92,1,"₩80.11",2,19,"https://www.lawtalk.co.kr/"
73,"구드 아청",210,1,49,"₩1.11",2,19,"https://www.lawtalk.co.kr/posts/65258"
74,"입건 전 조사 종결",210,13,1,"₩4.45",5,7,"https://www.lawtalk.co.kr/posts/44630"
75,"미성년자 통 매음",210,5,27,"₩11.84",36,24,"https://www.lawtalk.co.kr/qna/294398"
76,"성범죄 기소유예 기록",210,9,3,"₩4.35",25,21,"https://www.lawtalk.co.kr/posts/48228"
77,"통매음 합의",210,2,34,"₩4.41",21,25,"https://www.lawtalk.co.kr/posts/61816"
78,"통 매음 처벌",210,2,64,"₩16.62",33,23,"https://www.lawtalk.co.kr/posts/66822"
79,"미성년자 의제 디시",210,14,1,"₩5.81",10,17,"https://www.lawtalk.co.kr/posts/54169"
80,"주거침입처벌",260,21,1,"₩1.80",5,32,"https://www.lawtalk.co.kr/posts/90608"
81,"형사사건 판결문 조회",210,37,0,"₩1.20",7,24,"https://www.lawtalk.co.kr/posts/30908"
82,"개인정보 유포 처벌 사례",170,4,14,"₩2.63",13,9,"https://www.lawtalk.co.kr/posts/41557"
83,"성범죄 종류",210,10,3,"₩2.22",23,36,"https://www.lawtalk.co.kr/posts/46842"
84,"업소 단속 초범",210,2,34,"₩0.00",1,33,"https://www.lawtalk.co.kr/qna/242430"
85,"경찰 조사 과정",210,18,1,"₩1.73",12,17,"https://www.lawtalk.co.kr/posts/18433"
86,"구글 이미지검색 처벌",210,1,49,"₩12.12",5,15,"https://www.lawtalk.co.kr/qna/139708"
87,"성범죄종류",210,9,4,"₩2.22",23,36,"https://www.lawtalk.co.kr/posts/46842"
88,"즐톡 경찰 수사",260,1,49,"₩58.53",10,17,"https://www.lawtalk.co.kr/qna/276083"
89,"입건전 조사 종결",210,13,1,"₩4.45",5,15,"https://www.lawtalk.co.kr/posts/44630"
90,"치상",210,53,0,"₩0.00",1,32,"https://www.lawtalk.co.kr/posts/68354"
91,"불 송치 무혐의 차이",210,15,1,"₩0.00",1,6,"https://www.lawtalk.co.kr/posts/33959"
92,"통매음 처벌",210,2,64,"₩16.62",33,28,"https://www.lawtalk.co.kr/posts/66822"
93,"트위터 다운로드 처벌 사례",260,5,9,"₩5.54",3,6,"https://www.lawtalk.co.kr/posts/35333"
