No,Keywords,Volume,Position,Est. Visits,Seo Difficulty,Ranking Url
1,성범죄 변호,1300,1,577,45,http://crime.gammyung.com/
2,신상 정보,320,1,122,19,http://crime.gammyung.com/sex-crime/crime4-1.html
3,성범죄 전문변호사,1000,2,106,25,http://crime.gammyung.com/
4,성범죄전문 변호사,1000,5,66,48,http://crime.gammyung.com/
5,공중밀집장소 추행,170,1,62,31,http://crime.gammyung.com/sex-crime/molestation-3.html
6,성범죄 변호사,1300,6,62,18,http://crime.gammyung.com/
7,성범죄전문변호사,1000,2,50,25,http://crime.gammyung.com/
8,성범죄 변호사 추천,70,1,26,47,http://crime.gammyung.com/
9,아동 성착취물 처벌 사례,110,3,21,40,http://crime.gammyung.com/bbs/board.php?bo_table=succession_case&wr_id=1541
10,신상정보,320,2,17,32,http://crime.gammyung.com/sex-crime/crime4-1.html
11,성폭행 변호사,50,1,17,19,http://crime.gammyung.com/
12,강제추행전문변호사,70,1,15,69,http://crime.gammyung.com/
13,지하철 추행,260,3,14,24,http://crime.gammyung.com/bbs/board.php?bo_table=press&wr_id=217
14,공중밀집장소추행,140,3,14,31,http://crime.gammyung.com/mobile/sex-crime/molestation-3.html
15,아동 복지법 위반 사례,70,3,12,12,http://crime.gammyung.com/bbs/board.php?bo_table=succession_case&wr_id=1135
16,성범죄,2900,9,11,52,http://crime.gammyung.com/bbs/board.php?bo_table=succession_case
17,성범죄 전문 변호사,1000,6,10,48,http://crime.gammyung.com/
18,감명,320,4,9,31,http://crime.gammyung.com/
19,군대 성범죄 사례,110,2,9,57,http://crime.gammyung.com/bbs/board.php?bo_table=succession_case&num=2&page=14&wr_id=1358
20,통신매체 명예훼손,70,2,9,26,http://crime.gammyung.com/bbs/board.php?bo_table=succession_case&wr_id=1043
21,klabs,390,4,9,1,http://crime.gammyung.com/
22,아동복지법 위반 사례,70,3,8,19,http://crime.gammyung.com/bbs/board.php?bo_table=succession_case&wr_id=1135
23,성범죄 처벌 사례,70,3,8,47,http://crime.gammyung.com/bbs/board.php?bo_table=succession_case&num=1&wr_id=953
24,성범죄변호사상담,140,3,8,45,http://crime.gammyung.com/
25,성범죄 로펌,90,2,8,16,http://crime.gammyung.com/
26,동성 성범죄,70,2,7,26,http://crime.gammyung.com/bbs/board.php?bo_table=succession_case&lawyer=20|나상혁 변호사&wr_id=1489
27,성범죄변호사 추천,70,2,7,23,http://crime.gammyung.com/
28,성착취물 기준,170,6,6,18,http://crime.gammyung.com/bbs/board.php?bo_table=column&wr_id=47
29,아동성착취물 기준,140,4,6,23,http://crime.gammyung.com/bbs/board.php?bo_table=column&wr_id=47
30,성범죄 사건,140,4,6,19,http://crime.gammyung.com/bbs/board.php?bo_table=succession_case
31,금융거래정보 제공 사실 통보서,1600,13,6,5,http://crime.gammyung.com/bbs/board.php?bo_table=online&page=407&wr_id=1532
32,성범죄변호사 상담,140,5,5,3,http://crime.gammyung.com/
33,강제추행변호사,260,5,5,54,http://crime.gammyung.com/
34,감명아,320,6,5,31,http://crime.gammyung.com/bbs/board.php?bo_table=succession_case&num=1&wr_id=1186
35,금융 거래 정보 제공 사실 통보서,1600,13,5,5,http://crime.gammyung.com/bbs/board.php?bo_table=online&page=407&wr_id=1532
36,군대 동성 성범죄 사례,70,2,5,45,http://crime.gammyung.com/bbs/board.php?bo_table=succession_case&num=-7&page=5&wr_id=1482
37,성범죄 신상 공개,720,9,5,15,http://crime.gammyung.com/sex-crime/crime4-1.html
38,성범죄전문,70,3,4,48,http://crime.gammyung.com/
39,유사성 행위,1600,35,4,18,http://crime.gammyung.com/bbs/board.php?bo_table=succession_case&num=1&wr_id=944
40,감명 아,320,7,4,18,http://crime.gammyung.com/bbs/board.php?bo_table=succession_case&num=1&wr_id=1186
41,전담챈,70,3,4,31,http://crime.gammyung.com/bbs/board.php?bo_table=succession_case&num=2&page=30&wr_id=1113
42,신상정보등록,320,6,4,33,http://crime.gammyung.com/sex-crime/crime4-1.html
43,신상 정보 등록,320,6,4,15,http://crime.gammyung.com/sex-crime/crime4-1.html
44,업무상 위력 등에 의한 추행,50,5,3,11,http://crime.gammyung.com/sex-crime/molestation-4.html
45,통 매음 헌터 무시,50,4,3,10,http://crime.gammyung.com/bbs/board.php?bo_table=succession_case&lawyer=5|%EC%95%88%EA%B0%91%EC%B2%A0%20%EB%B3%80%ED%98%B8%EC%82%AC&wr_id=1277
46,아청 물제작,70,3,3,29,http://crime.gammyung.com/bbs/board.php?bo_table=succession_case&wr_id=1569
47,통매음 사진 유도,90,5,3,20,http://crime.gammyung.com/bbs/board.php?bo_table=succession_case&lawyer=5|%EC%95%88%EA%B0%91%EC%B2%A0%20%EB%B3%80%ED%98%B8%EC%82%AC&wr_id=1277
48,신상정보등록 후기,390,9,3,20,http://crime.gammyung.com/sex-crime/crime4-1.html
49,아청물 제작,70,3,3,29,http://crime.gammyung.com/bbs/board.php?bo_table=succession_case&wr_id=1569
50,통 매음 사진 유도,90,5,3,12,http://crime.gammyung.com/bbs/board.php?bo_table=succession_case&lawyer=5|%EC%95%88%EA%B0%91%EC%B2%A0%20%EB%B3%80%ED%98%B8%EC%82%AC&wr_id=1277
51,업소 단속 초범,210,9,3,33,http://crime.gammyung.com/bbs/board.php?bo_table=succession_case&wr_id=1009
