No,Keyword,Volume,Position,Est. Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
1,"법무법인",4400,57,9,"₩9.55",22,20,"https://brunch.co.kr/@3fd7d61eb3764fa/32"
2,"법무 법인",3600,72,9,"₩4.26",45,15,"https://brunch.co.kr/@3fd7d61eb3764fa/32"
3,"그루밍",4400,35,9,"₩4.65",2,33,"https://brunch.co.kr/@@6Y04/7"
4,"형사전문 변호사",1600,16,15,"₩14.49",14,23,"https://brunch.co.kr/@@ftB4/66"
5,"형사전문변호사",1600,25,8,"₩14.49",14,1,"https://brunch.co.kr/@@ftB4/66"
6,"형사 전문 변호사",880,53,8,"₩23.33",39,9,"https://brunch.co.kr/@5489890f1f1a4fb/1"
7,"공연 음란 죄",2400,28,5,"₩4.64",19,19,"https://brunch.co.kr/@@ehFq/38"
8,"피상적",1900,40,4,"₩0.00",1,31,"https://brunch.co.kr/@@eK6J/28"
9,"유사성 행위",1600,7,41,"₩0.00",1,18,"https://brunch.co.kr/@0233a10cc72e4e6/41"
10,"위계",1600,37,3,"₩0.00",1,31,"https://brunch.co.kr/@@cTHG/123"
11,"성범죄 변호",1300,60,3,"₩65.28",68,45,"https://brunch.co.kr/@0233a10cc72e4e6/101"
12,"성범죄전문 변호사",1000,78,3,"₩52.25",40,48,"https://brunch.co.kr/@@gKhT/27"
13,"사이버 명예 훼손",1300,31,3,"₩1.97",10,17,"https://brunch.co.kr/@@8mWe/52"
14,"여자 뒷모습",1300,18,6,"₩0.00",1,18,"https://brunch.co.kr/@irisseok/77"
15,"딥페이크 처벌 사례",1000,48,3,"₩2.62",8,3,"https://brunch.co.kr/@lawlee/93"
16,"성범죄 전문변호사",1000,77,3,"₩52.25",40,25,"https://brunch.co.kr/@@gKhT/28"
17,"사이버명예훼손",1300,28,3,"₩1.97",10,35,"https://brunch.co.kr/@@8mWe/52"
18,"특수 폭행",1300,62,3,"₩1.39",2,19,"https://brunch.co.kr/@lawfirmsewoong/27"
19,"성범죄 변호사",1300,22,3,"₩125.62",73,18,"https://brunch.co.kr/@@cZag/67"
20,"성범죄전문변호사",1000,75,3,"₩52.25",40,25,"https://brunch.co.kr/@lawfirmsewoong/112"
21,"모욕",1000,26,2,"₩3.87",1,32,"https://brunch.co.kr/@lawyerpolice/69"
22,"기소 유예 전과",1000,7,34,"₩2.76",4,15,"https://brunch.co.kr/@@gxYm/20"
23,"이성호",1000,85,2,"₩0.00",1,31,"https://brunch.co.kr/@vibmaster"
24,"강제추행",1000,4,79,"₩12.53",40,8,"https://brunch.co.kr/@@tNv/167"
25,"군대 동성 경험",1300,85,2,"₩1.30",1,14,"https://brunch.co.kr/@@BMp/253"
26,"기소유예 전과",1000,7,34,"₩2.76",4,20,"https://brunch.co.kr/@@gxYm/20"
27,"딥페이크 시청 처벌 사례",880,4,58,"₩2.04",11,9,"https://brunch.co.kr/@lawlee/93"
28,"아청물",880,13,6,"₩7.70",17,37,"https://brunch.co.kr/@476bdca81139430/10"
29,"성범죄 신상공개",720,28,2,"₩1.64",5,5,"https://brunch.co.kr/@@dGts/205"
30,"통매음 무혐의 사례",720,39,1,"₩5.07",26,21,"https://brunch.co.kr/@chaedn/429"
31,"성범죄 신상 공개",720,28,2,"₩1.64",5,15,"https://brunch.co.kr/@@dGts/205"
